step	pg1
0	0.003306878306878307
1	0.0066401467595256815
2	0.009973155176298813
3	0.009999120644285004
4	0.009998436736952334
5	0.009997557473810372
6	0.009996482889570916
7	0.009995213026656718
8	0.009993747935199786
9	0.009992087673039426
10	0.009990232305719944
11	0.009988181906488066
12	0.00998593655629004
13	0.009983496343768447
14	0.009980861365258704
15	0.009978031724785246
16	0.009975007534057436
17	0.009971788912465146
18	0.009968375987074042
19	0.009964768892620579
20	0.009960967771506665
21	0.009956972773794058
22	0.009952784057198424
23	0.009948401787083122
24	0.009943826136452675
25	0.009939057285945931
26	0.009934095423828946
27	0.00992894074598754
28	0.009923593455919566
29	0.009918053764726882
30	0.00991232189110701
31	0.009906398061344504
32	0.009900282509302022
33	0.009893975476411087
34	0.009887477211662558
35	0.0098807879715968
36	0.009873908020293557
37	0.009866837629361526
38	0.009859577077927636
39	0.009852126652626024
40	0.009844486647586725
41	0.009836657364424054
42	0.009828639112224705
43	0.009820432207535548
44	0.009812036974351125
45	0.009803453744100868
46	0.00979468285563601
47	0.00978572465521621
48	0.009776579496495883
49	0.009767247740510233
50	0.009757729755661011
51	0.009748025917701958
52	0.009738136609723985
53	0.009728062222140035
54	0.00971780315266968
55	0.009707359806323416
56	0.009696732595386677
57	0.009685921939403553
58	0.00967492826516023
59	0.009663752006668145
60	0.009652393605146845
61	0.009640853509006573
62	0.009629132173830567
63	0.009617230062357068
64	0.009605147644461059
65	0.009592885397135707
66	0.009580443804473543
67	0.009567823357647338
68	0.00955502455489073
69	0.009542047901478529
70	0.009528893909706798
71	0.009515563098872604
72	0.009502055995253536
73	0.009488373132086917
74	0.009474515049548755
75	0.009460482294732422
76	0.009446275421627046
77	0.009431894991095655
78	0.009417341570853019
79	0.009402615735443254
80	0.009387718066217125
81	0.009372649151309104
82	0.009357409585614153
83	0.009341999970764226
84	0.009326420915104534
85	0.00931067303366952
86	0.009294756948158579
87	0.009278673286911511
88	0.009262422684883725
89	0.009246005783621163
90	0.009229423231234974
91	0.009212675682375937
92	0.009195763798208603
93	0.009178688246385198
94	0.009161449701019272
95	0.009144048842659082
96	0.009126486358260716
97	0.009108762941160989
98	0.00909087929105006
99	0.009072836113943815
100	0.00905463412215599
101	0.009036274034270054
102	0.00901775657511084
103	0.008999082475715927
104	0.008980252473306785
105	0.008961267311259668
106	0.008942127739076263
107	0.008922834512354112
